ipa_phoneme,english_translation,description,original_characters
bak-,"peg], [club","Various points suggest a post-Indo-European borrowing from an unknown source: * The phoneme *b, which is rare and of somewhat doubtful status. * The consistent occurrence of *a. * The alternation between *k and geminate *kk across the descendants. According to Oxford's Introduction to proto-Indo-European, the initial *b- may have been due to the informal (""popular"") nature of the term. Kroonen and De Vaan reconstruct no Proto-Indo-European form at all.",bak-
bel-,strength,,bel-
bʰed-,"to improve, make better",,bʰed-
bʰedʰ₂-,"to dig, burrow; to pierce, stab",The root is considered to be a member of the so-called ''molō-present'' class―roots which conjugate with the early h₂e-conjugation in present and exhibit R(e/o)-ablaut.,bʰedʰh₂-
bʰeg-,"to break, to split","The existence of this root is highly tentative, as most of the descendants have disputed etymologies and are only loosely semantically related.",bʰeg-
bʰegʷ-,"to flee, to run",Apparently originally the same root as the synonymous *bʰewg-.,bʰegʷ-
bʰe₁-,to foment; warm; bathe,,bʰeh₁-
bʰe₂-,"to shine, glow light; to appear, be visible",,bʰeh₂-
bʰe₂g-,"to divide, distribute, allot","This root could presumably have an *a, but the short vowel of *bʰaga- can easily be explained by Lubotsky's Law, from the loss of the laryngeal in front of a voiced stop plus another consonant; this condition would have existed, for instance, in athematic verb forms, such as *bʰegs-.",bʰeh₂g-
bʰe₃g-,"to bake, to roast, to fry",,bʰeh₃g-
bʰel-,"to sound; to speak, roar, bark","Pokorny lists *bhel- ""henbane"" separately but allows the possibility that it is the same as *bhel- ""shiny, white.""",bʰel-
bʰelǵ-,"to balk, beam",Palatovelar assumed based on purported connection to the Balto-Slavic words that are more accurately from *bʰelǵʰ- (see note 2).,bʰelǵ-
bʰelǵʰ-,to swell,,bʰelǵʰ-
bʰendʰ-,"to bind, bond",,bʰendʰ-
bʰenǵʰ-,"thick, to swell, grow","The verbal senses ""to grow, thicken"" are found in Indo-Iranian, but their inherited status is disputed.",bʰenǵʰ-
bʰer-,"to bear, carry",etymological notes,bʰer-
bʰerǵʰ-,"to rise up, ascend; to be elevated, up high",,bʰerǵʰ-
bʰergʰ-,"to safeguard, to protect; to preserve",,bʰergʰ-
bʰerH-,"to pierce, to strike",,bʰerH-
